"CBSA","DIV","CSA","Type","Population","CBSA Name","Div Name","CSA Name"
"13420",,,"Micro","45,847","Bemidji, MN",,
"13460",,"140","Metro","175,321","Bend, OR",,"Bend-Prineville, OR"
"13500",,,"Micro","27,505","Bennettsville, SC",,
"13540",,,"Micro","36,054","Bennington, VT",,
"13620",,,"Micro","38,322","Berlin, NH",,
"13660",,"266","Micro","43,181","Big Rapids, MI",,"Grand Rapids-Kentwood-Muskegon, MI"
"13700",,,"Micro","37,911","Big Spring, TX",,
"13720",,,"Micro","58,763","Big Stone Gap, VA",,
"13740",,,"Metro","167,545","Billings, MT",,
"13780",,,"Metro","245,446","Binghamton, NY",,
"13820",,"142","Metro","1,144,097","Birmingham-Hoover, AL",,"Birmingham-Hoover-Talladega, AL"
"13900",,,"Metro","128,673","Bismarck, ND",,
"13940",,"292","Micro","45,369","Blackfoot, ID",,"Idaho Falls-Rexburg-Blackfoot, ID"
"13980",,,"Metro","181,863","Blacksburg-Christiansburg, VA",,
"14010",,"145","Metro","189,407","Bloomington, IL",,"Bloomington-Pontiac, IL"
"14020",,"144","Metro","165,393","Bloomington, IN",,"Bloomington-Bedford, IN"
"14100",,"146","Metro","84,917","Bloomsburg-Berwick, PA",,"Bloomsburg-Berwick-Sunbury, PA"
"14140",,,"Micro","103,652","Bluefield, WV-VA",,
"14180",,,"Micro","43,534","Blytheville, AR",,
"14220",,"406","Micro","46,449","Bogalusa, LA",,"New Orleans-Metairie-Hammond, LA-MS"
"14260",,"147","Metro","677,346","Boise City, ID",,"Boise City-Mountain Home-Ontario, ID-OR"
"14300",,"206","Micro","33,787","Bonham, TX",,"Dallas-Fort Worth, TX-OK"
"14380",,,"Micro","53,421","Boone, NC",,
"14420",,"108","Micro","21,704","Borger, TX",,"Amarillo-Pampa-Borger, TX"
"14460","14454","148","Metro","4,771,936","Boston-Cambridge-Newton, MA-NH","Boston, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
"14460","15764","148","Metro","4,771,936","Boston-Cambridge-Newton, MA-NH","Cambridge-Newton-Framingham, MA","Boston-Worcester-Providence, MA-RI-NH-CT"
"14460","40484","148","Metro","4,771,936","Boston-Cambridge-Newton, MA-NH","Rockingham County-Strafford County, NH","Boston-Worcester-Providence, MA-RI-NH-CT"
"14500",,"216","Metro","316,782","Boulder, CO",,"Denver-Aurora, CO"
"14540",,"150","Metro","169,250","Bowling Green, KY",,"Bowling Green-Glasgow, KY"
"14580",,,"Micro","100,733","Bozeman, MT",,
"14620",,,"Micro","42,070","Bradford, PA",,
"14660",,,"Micro","92,315","Brainerd, MN",,
"14700",,,"Micro","85,837","Branson, MO",,
"14720",,,"Micro","29,722","Breckenridge, CO",,
"14740",,"500","Metro","258,903","Bremerton-Silverdale-Port Orchard, WA",,"Seattle-Tacoma, WA"
